Blog	four	looking	here	until	want	feature	how	re	tech	than	best	much	life	things	had	has	right	old	people	support	time	love	such	data	their	so	years	internet	million	one	open	future	say	take	going	where	many	being	around	world	favorite	her	am	an	as	at	tv	small	past	social	more	company	its	always	found	really	number	also	set	see	movie	couple	d	be	by	into	up	us	ago	results	try	video	let	great	makes	next	high	doing	could	system	should	hope	means	email	ve	off	less	web	become	does	work	after	then	them	they	another	john	what	do	we	com	night	post	months	way	was	live	car	can	product	still	not	now	year	online	america	only	between	learning	these	media	real	read	t	your	aren	start	lot	since	very	almost	site	help	actually	event	ask	latest	pretty	during	won	both	else	look	while	used	game	some	doesn	youtube	go	facebook	started	links	including	need	able	based	probably	she	i	well	twitter	home	he	using	even	new	ever	never	call	tell	before	better	side	content	isn	seen	don	m	bad	said	against	three	if	make	left	just	super	down	me	did	making	may	man	maybe	talk	nbsp	thing	think	first	long	little	anyone	were	show	get	reading	according	those	different	same	money	again	important	public	two	through	someone	everyone	house	hard	idea	least	part	most	find	point	simple	create	big	bit	google	often	back	from	power	ll	day	have	thought	add	smart	like	about	but	every	would	my	keep	end	over	writing	each	got	free	days	already	top	too	took	though	full	news	been	several	everything	no	when	says	today	trump	turn	place	white	any	ideas	later	state	come	case	good	week	without	blog	or	there	all	far	design	might	feel	story	his	him	wrote	art	are	recently	know	question	called	users	once	apple	use	few	something	instead	our	out	which	who	why	stories	job	last	will	other	because	getting	own	made	book
Kotaku	1	0	2	2	0	0	0	1	0	2	4	2	1	0	2	0	1	0	1	0	3	1	0	0	4	1	0	1	0	4	0	0	0	2	0	2	1	1	2	0	2	0	1	4	2	3	1	0	0	1	26	0	3	0	1	0	2	2	1	1	1	0	0	4	6	2	4	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	2	1	2	2	2	0	3	2	3	0	0	1	0	1	5	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	23	5	5	0	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	10	2	1	2	0	0	0	0	1	0	0	2	0	4	3	0	0	0	6	0	1	7	1	1	1	0	0	0	0	2	0	0	1	0	1	2	1	0	5	0	0	4	0	2	0	1	0	0	1	2	1	0	0	0	1	1	3	1	2	0	1	0	0	1	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	3	7	0	1	3	3	0	1	0	2	1	4	1	4	2	1	0	4	0	0	0	0	1	0	0	0	1	1	1	0	2	0	0	1	1	1	5	1	0	0	0	1	0	2	0	0	2	1	3	0	0	2	5	1	0	0	0	0	0	3	0	0	0	7	0	0	0	1	0	0	0	0	1	1	0	2	3	1	3	0	0	0	2	1	1	1	1	0	0	0
The Write News	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	1	4	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	5	0	0	1	0	15	1	1	0	0	0	0	1	0	0	0	0	0	2	1	2	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	15	1	0	1	0	4	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	15	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	2	4	0	0	0	0	0	0
Derek Powazek	0	1	6	0	1	0	7	7	1	2	1	1	5	1	3	5	4	2	2	0	4	1	0	0	4	7	5	1	0	13	1	0	3	1	4	0	1	0	1	3	0	9	3	5	10	7	0	2	0	0	6	1	1	4	1	2	1	2	0	3	0	4	2	7	5	4	11	4	2	0	1	0	1	5	0	1	1	1	1	0	1	2	0	0	11	1	1	1	0	0	3	4	7	2	6	3	0	9	7	7	1	2	3	2	0	13	2	1	8	1	4	6	10	4	2	0	1	4	0	2	2	0	0	10	6	0	0	1	1	1	1	2	0	0	0	1	0	0	0	0	2	1	0	1	1	0	3	0	1	4	0	2	0	0	1	1	0	1	7	69	2	1	0	5	1	1	5	1	3	1	0	1	0	0	1	0	1	4	12	3	3	1	4	9	1	1	11	0	2	15	4	0	0	1	1	3	0	4	4	3	1	7	0	2	3	6	4	0	1	0	3	3	2	0	0	9	1	0	1	0	3	0	0	2	2	1	0	1	2	1	0	0	2	2	5	0	4	2	3	1	0	0	9	9	14	3	0	22	0	0	5	2	1	1	0	4	1	2	2	3	0	1	1	8	0	2	2	11	0	2	0	0	0	1	0	0	1	0	3	0	1	3	0	1	5	7	10	0	1	1	5	3	3	2	1	0	11	0	6	0	0	0	2	0	0	5	8	0	3	9	2	1	1	1	1	7	5	3	3	2	2	2	6
Captain's Quarters	0	0	0	0	0	0	1	0	0	2	1	0	0	0	3	7	0	0	0	0	1	1	0	0	6	0	2	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	1	4	5	0	0	1	0	3	0	3	0	0	0	0	2	0	0	0	0	0	4	4	2	1	3	1	0	0	0	0	0	0	1	0	0	0	3	2	0	1	0	0	1	1	0	1	0	1	3	0	0	2	1	1	0	0	1	0	0	1	2	0	1	0	0	1	0	1	3	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	3	1	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	2	3	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	3	0	0	2	2	0	0	0	0	3	1	0	1	2	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	2	1	0	1	2	0	2	0	2	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	4	6	1	0	3	0	0	0	0	0	0	1	0	1	1	0	0	0	4	0	1	0	0	0	0	5	2	0	0	0	0	0
ThinkProgress	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	3	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	2	0	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	2	1	0	1	0	1	2	0	2	1	0	2	0	0	0	0	0	0	1	0	2	0	0	2	0	0	2	0	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	4	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	0	0	5	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	6	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	5	2	0	0	1	1	0	3	0	0	1	0
blog maverick	0	0	0	1	0	0	1	0	0	4	0	0	0	0	1	1	2	0	1	0	2	1	0	0	1	0	0	1	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	2	4	2	1	3	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	3	8	3	0	0	0	0	3	2	0	1	0	0	5	1	2	0	1	0	0	0	0	2	2	0	4	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	3	0	1	0	0	0	1	0	0	0	11	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	2	0	2	1	0	1	0	0	2	0	0	0	0	0	2	0	0	2	0	1	0	0	0	1	0	2	0	1	2	0	1	0	0	0	0	0	3	0	2	4	0	1	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	2	3	0	0	2	6	0	0	0	2	2	2	1	1	4	0	0	0	0	0	0	1	1	0	0	0	2	0	1	4	2	0	2	3	3	0	0	2	1	0	0	1	0	0	1	0	0	0	2	0	0	4	4	2	0	0	0	2	0	0	1	0	0	6	0	1	1	1	0	0	3	1	0	0	0	3	2	1	1	1	0	0	0	1	1	0	1	0	0	0
PerezHilton	0	0	1	0	0	0	0	3	0	0	0	0	0	0	2	2	1	1	1	0	1	1	0	0	0	2	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	13	0	5	5	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	4	1	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	6	0	0	2	0	0	0	0	4	0	1	0	0	0	6	0	0	0	0	0	1	0	3	0	1	1	0	2	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	1	0	0	0	1	0	0	1	0	0	1	0	7	3	1	2	1	3	0	2	1	3	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	2	1	1	0	0	2	1	4	0	0	0	0	0	0	0	1	0	1	1	2	0	3	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	2	0	0	0	2	1	0	0	0	3	2	0	0	1	0	0	2	0	0	2	0	0	0	0	1	2	0	0	1	1	1	0	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	2	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	1	4	0	0	0	0	0	0	0	0	1	1	0
plasticbag.org	0	0	1	0	0	0	1	2	0	0	0	1	1	1	1	1	1	0	4	1	3	0	0	0	0	1	2	0	0	2	0	0	0	2	5	0	2	2	0	0	0	0	0	0	5	6	1	0	0	0	10	2	1	0	0	0	2	0	0	0	0	1	1	5	1	1	2	2	1	0	1	0	0	1	0	0	0	1	3	0	2	0	0	0	3	0	0	0	0	0	0	0	0	3	1	1	0	0	1	4	0	0	1	1	1	3	0	0	1	0	0	0	1	1	1	0	0	0	0	2	1	0	6	5	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	6	1	0	0	0	0	6	0	1	0	0	0	0	16	0	1	0	1	0	0	2	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	2	0	1	1	3	0	0	0	2	4	1	0	0	3	0	1	2	0	0	0	0	1	0	0	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	2	6	1	3	0	0	1	1	0	1	0	4	0	2	0	1	0	0	1	0	1	1	0	0	1	3	1	0	0	0	3	2	0	0	1	0	1	0
43 Folders	5	2	28	15	26	1	60	48	0	36	14	37	32	55	26	28	24	10	54	3	46	15	6	3	19	75	16	3	0	47	4	8	21	10	7	20	20	17	10	13	10	17	14	45	123	78	4	2	8	1	69	2	9	20	1	77	9	27	3	18	1	7	45	96	101	21	45	21	3	2	18	14	17	14	5	3	0	16	24	4	16	20	11	11	40	13	16	10	12	5	59	10	25	22	48	10	15	73	74	67	17	5	2	4	36	84	8	3	85	4	20	120	41	14	1	1	22	3	6	24	2	19	43	128	83	4	11	39	5	29	13	2	30	14	4	9	0	11	2	10	8	7	5	10	6	2	28	18	0	21	1	2	2	8	21	1	2	8	29	469	24	4	6	39	8	50	28	26	26	3	17	13	27	4	1	0	1	46	47	6	14	4	3	59	45	2	70	2	9	82	13	11	15	7	14	22	1	33	31	29	21	28	14	16	4	50	13	0	27	7	9	5	10	13	1	10	7	7	8	2	16	6	11	17	41	10	21	7	0	25	7	2	19	25	34	7	37	16	74	10	1	4	68	105	93	12	20	188	10	7	29	4	13	2	8	7	13	2	14	2	2	7	1	31	2	12	37	30	13	13	0	5	7	0	38	3	5	0	5	3	26	11	12	5	105	33	58	7	10	16	7	6	28	12	2	3	50	1	40	3	3	5	4	1	11	13	23	4	35	44	45	70	32	2	19	13	53	22	57	11	13	28	25
Autoblog	4	1	3	0	1	0	1	3	2	10	1	0	1	4	0	4	2	0	0	0	2	0	0	0	3	6	3	0	0	5	0	1	0	0	4	0	0	0	2	4	0	0	0	3	1	17	0	1	0	0	10	1	17	1	0	0	0	2	0	39	0	0	3	17	3	0	8	1	0	0	0	8	0	0	0	0	0	0	3	0	6	0	0	39	0	16	3	0	0	1	0	1	0	4	2	0	0	0	0	1	0	0	0	1	0	2	0	9	4	0	4	11	6	1	0	6	3	0	0	7	0	0	0	10	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	0	1	0	0	3	0	0	0	0	3	1	0	2	0	1	7	0	0	0	0	3	22	9	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	2	1	0	8	0	0	0	0	0	1	0	0	0	156	0	0	13	1	0	0	0	28	5	39	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	2	0	0	0	0	5	1	0	0	0	0	0	2	0	5	0	1	0	1	3	7	0	1	0	0	0	3	0	0	0	0	0	0	3	1	0	0	4	2	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	2	1	1	0	2	0	5	2	8	1	4	0	0	0	1	0	0	0	6	0	4	0	0	0	0	0	39	1	0	0	40	5	1	2	0	0	0	0	15	1	0	1	0	4	0
Google Blogoscoped	0	0	2	0	2	2	5	5	1	1	4	4	0	1	3	1	1	0	3	0	4	2	0	0	4	7	1	0	0	13	2	1	0	1	2	1	0	0	2	1	0	0	1	5	12	7	0	1	2	0	4	0	1	2	0	0	5	2	1	4	0	0	2	4	4	3	3	1	1	1	0	0	2	0	1	1	0	2	1	0	0	0	0	0	4	0	1	4	0	0	1	0	3	4	7	2	0	6	3	12	0	0	2	0	1	6	1	1	10	0	0	5	4	0	1	0	2	0	0	1	0	0	2	11	8	1	1	0	0	1	0	4	0	2	0	0	0	0	0	0	2	2	1	1	2	2	3	0	0	1	0	0	2	0	2	0	1	2	0	18	2	0	1	2	4	4	8	0	1	0	0	0	0	1	0	1	0	4	2	0	2	0	0	8	3	1	6	0	1	4	1	0	1	0	1	0	0	1	0	2	1	0	1	1	1	5	1	0	3	2	1	0	0	0	0	3	1	1	0	0	0	3	0	0	3	3	0	1	1	0	0	28	1	3	7	0	6	3	5	0	3	1	6	9	10	1	11	7	0	0	1	0	3	0	2	0	1	1	2	1	3	2	1	4	1	0	6	4	1	1	0	0	2	0	3	0	2	0	1	1	0	0	0	1	7	5	5	0	1	0	1	0	1	0	0	0	6	0	2	4	1	0	1	0	3	1	2	0	3	2	5	5	0	0	0	0	1	4	5	0	0	2	0
Deadspin	1	0	5	3	1	0	2	2	2	3	6	0	0	0	1	6	1	1	0	1	1	1	0	0	3	1	0	1	1	8	2	0	0	4	0	1	3	4	3	1	2	0	0	8	4	5	0	1	0	1	28	0	1	0	1	0	0	1	0	1	1	1	0	3	4	4	1	3	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	3	0	1	0	0	0	7	0	2	3	0	0	3	0	5	1	0	1	0	0	5	0	0	2	0	0	4	1	3	0	0	0	0	0	1	1	1	24	4	4	0	0	2	3	3	0	0	1	0	4	0	0	0	0	2	0	0	0	1	1	0	2	0	2	2	1	0	0	0	0	1	0	1	3	2	1	1	0	8	0	3	6	2	0	2	0	1	0	0	0	0	0	1	0	1	1	1	1	0	1	0	4	0	2	1	2	0	0	2	0	0	0	0	0	4	1	0	0	2	0	1	0	0	2	0	0	1	0	1	2	1	1	1	0	0	0	1	0	0	1	1	0	0	0	2	0	0	2	3	4	0	1	6	4	0	1	2	1	1	5	1	0	0	1	1	3	0	1	0	0	2	0	0	0	1	1	2	0	2	0	0	3	2	0	6	0	0	1	0	1	0	0	4	1	0	1	1	0	0	1	2	0	0	0	0	0	0	11	2	0	0	2	0	0	0	1	0	1	0	2	2	1	0	6	4	1	3	1	0	0	1	5	2	2	0	0	1	0
The Dish	0	2	2	0	1	0	6	2	0	4	0	2	1	3	4	8	0	3	5	2	6	7	0	0	7	6	11	2	1	10	2	0	1	1	2	0	3	0	4	7	2	1	2	9	21	8	1	0	3	0	7	0	0	1	1	0	1	0	0	0	0	0	1	11	12	1	7	3	2	1	0	0	0	0	0	1	1	1	1	1	3	4	0	3	3	0	1	0	1	0	3	2	7	0	8	2	1	9	3	18	1	0	4	0	0	10	1	0	4	0	2	6	2	3	0	2	3	1	0	5	0	1	9	15	12	0	0	0	2	1	1	2	0	0	0	0	2	0	2	1	0	1	3	0	0	1	1	1	0	3	0	1	1	1	0	1	0	2	1	38	1	0	1	3	0	4	2	0	2	0	0	1	2	0	2	1	0	4	1	1	4	1	1	2	2	0	4	0	1	11	2	0	1	1	1	2	0	1	1	4	6	2	2	1	0	2	3	2	2	1	2	1	0	0	1	1	4	0	0	2	1	3	2	3	5	2	0	2	0	2	0	0	2	3	13	0	3	9	5	2	0	0	0	9	10	1	1	17	1	3	3	2	0	0	0	0	0	0	1	1	1	0	2	6	0	0	6	5	0	1	0	0	1	0	1	1	0	0	0	1	0	1	2	6	3	3	6	0	0	1	0	3	11	0	1	1	7	4	6	2	0	0	0	0	1	0	0	0	4	3	2	5	3	0	1	3	5	2	1	0	1	2	3
kottke.org	2	6	13	8	3	2	24	17	0	22	8	10	10	12	11	19	6	4	14	4	23	7	5	2	20	22	14	3	2	41	2	3	6	4	5	7	10	3	11	12	6	13	6	32	58	45	6	1	4	4	24	0	16	5	4	9	2	24	6	14	7	4	10	40	41	26	15	10	9	3	3	34	1	3	1	2	3	3	7	4	6	2	2	0	13	8	3	0	4	12	9	8	8	21	38	7	6	31	13	37	0	4	2	2	11	33	6	3	42	0	4	33	12	10	1	1	4	7	1	8	6	1	6	39	29	2	4	5	1	9	3	0	4	4	0	2	1	3	6	1	4	2	8	3	6	5	14	6	5	6	0	1	0	2	4	3	3	1	7	85	9	0	2	28	9	12	13	6	7	3	3	6	5	3	2	4	6	16	11	3	8	2	2	28	5	0	20	10	6	15	0	2	5	3	3	3	242	7	9	12	4	6	6	10	5	14	1	2	7	6	10	1	0	1	6	13	9	4	3	1	3	2	2	11	6	4	3	3	6	5	2	1	5	8	45	3	5	10	20	2	0	0	43	45	38	11	7	28	3	5	6	3	2	1	1	4	3	0	5	3	2	0	0	11	2	3	12	18	2	4	3	3	2	5	9	3	2	2	3	3	9	1	8	1	49	11	27	3	1	7	3	6	31	3	5	7	39	3	10	5	6	1	1	1	8	2	11	2	11	16	14	13	9	5	1	9	12	17	7	2	0	6	3
O'Reilly Radar	10	0	0	1	0	0	0	3	0	0	0	0	0	1	1	4	1	0	1	0	0	0	0	2	2	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	2	1	0	0	0	0	0	0	0	0	2	0	0	2	1	0	1	0	0	1	1	2	3	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	7	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	6	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0
Lifehack	0	0	1	1	0	0	1	0	0	2	5	2	3	1	2	0	1	0	3	0	0	1	0	0	1	1	1	0	0	3	0	0	0	0	0	0	1	1	0	1	0	2	0	0	4	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	2	2	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	2	4	3	0	0	12	0	4	0	0	3	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	2	0	1	0	0	0	1	2	0	0	0	2	0	0	0	12	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	3	0	2	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	4	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	6	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	1	0	0	1	3	0	0	5	0	0	0	3	0	0	0	0	0	0
Lifehacker	2	0	3	1	1	0	5	4	1	3	4	3	3	1	1	1	2	0	2	0	4	0	0	2	4	4	2	1	0	1	0	0	0	2	3	0	2	3	2	0	1	3	0	7	9	3	0	0	0	0	30	1	6	0	1	1	0	0	1	1	0	0	0	7	4	3	5	3	0	0	2	0	1	2	0	1	0	0	0	0	0	0	1	0	2	3	0	1	0	0	3	2	0	2	2	0	2	3	3	6	0	2	0	0	1	9	0	2	9	0	1	4	5	1	0	0	2	1	0	2	0	2	25	14	15	0	2	1	1	3	1	1	1	0	0	2	2	2	0	4	0	0	0	2	0	0	4	3	0	4	0	1	0	0	5	0	0	1	2	13	0	4	2	2	1	3	7	1	1	2	1	2	0	0	0	0	0	3	1	0	0	1	0	10	2	1	3	1	0	1	1	0	1	0	0	0	0	0	0	4	3	0	1	1	0	2	0	1	0	0	0	1	1	1	2	1	0	0	3	0	0	0	0	1	1	0	1	0	0	2	1	6	2	1	8	0	0	4	8	0	0	2	3	2	9	0	0	7	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	1	0	1	1	5	0	2	1	0	0	1	2	0	0	0	3	0	2	0	1	0	5	3	0	0	0	2	1	0	2	0	0	0	4	0	1	0	0	0	0	2	1	1	2	0	2	7	1	2	0	0	0	3	3	2	0	1	2	1	2
Google Operating System	0	0	7	0	3	11	0	3	0	5	1	2	2	1	2	16	1	4	2	2	1	0	1	1	3	6	0	1	0	8	4	0	0	1	1	1	4	0	2	2	2	0	0	13	11	4	2	0	0	0	14	0	3	1	4	1	0	9	1	4	2	0	1	16	10	3	5	0	0	9	3	3	1	1	2	5	4	0	0	5	1	1	1	1	5	2	0	3	2	0	0	2	3	3	6	4	0	4	1	8	2	2	1	0	1	6	2	0	23	2	5	7	16	2	0	0	10	4	2	3	0	1	1	10	20	2	1	1	2	2	0	4	1	1	0	1	2	2	0	1	2	0	3	5	0	2	6	2	13	7	0	2	1	4	2	2	1	1	0	13	2	0	6	0	5	4	24	0	2	0	0	0	1	0	2	0	0	3	3	0	0	1	0	11	2	2	4	0	5	1	3	0	1	2	0	0	11	0	0	5	5	1	0	0	2	15	0	2	3	9	3	0	2	2	1	0	0	0	2	0	0	0	0	0	3	1	3	0	0	0	0	108	1	4	22	1	7	3	3	0	7	3	17	10	7	1	0	3	1	1	1	0	4	0	1	0	1	1	0	0	1	2	1	2	0	0	6	15	0	1	0	5	3	0	3	0	1	0	0	0	0	0	0	2	27	7	3	0	1	0	1	0	0	0	0	0	11	2	4	3	4	3	0	0	7	1	2	0	2	7	12	1	1	0	0	1	13	9	2	0	2	0	0
Celebslam	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	17	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	10	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
Mashable	2	2	8	3	0	4	15	10	20	7	6	3	0	4	1	14	5	8	7	4	9	2	0	2	10	10	6	2	3	10	1	0	2	2	3	1	6	6	3	4	1	17	2	15	18	22	2	1	0	5	70	5	6	3	4	9	1	24	3	24	6	2	0	17	20	10	10	2	2	1	0	7	2	1	1	1	1	0	6	1	3	1	2	0	1	5	3	4	0	1	4	4	7	2	12	3	1	13	1	11	1	0	3	0	6	16	2	0	12	2	5	15	8	6	0	0	3	1	0	9	7	5	30	18	15	2	1	3	3	3	0	0	5	3	0	0	2	3	1	1	1	0	2	7	0	4	5	2	0	2	5	2	0	2	3	2	3	4	7	11	4	1	6	14	0	8	11	1	1	0	0	5	3	2	0	1	2	3	0	4	4	2	0	9	5	0	8	3	4	2	1	1	6	9	0	1	0	3	3	5	3	4	1	4	2	13	0	3	2	2	1	0	1	5	1	5	6	1	3	3	2	0	1	2	3	2	0	0	0	2	4	1	1	3	17	3	0	2	11	2	3	4	6	47	24	4	3	5	1	0	2	1	2	3	1	1	3	0	2	2	0	0	1	7	1	3	5	10	2	1	0	1	2	2	2	0	1	1	1	1	4	2	2	1	11	5	15	2	0	5	1	2	12	1	0	2	26	2	8	1	3	2	1	8	2	2	4	2	6	8	7	12	2	1	2	4	14	3	5	3	1	4	0
